日期,星期,最高气温,最低气温,天气,风向,风力
2022-01-01,星期六,14,7,晴,西南风,1级
2022-01-02,星期日,18,3,晴,北风,1级
2022-01-03,星期一,17,5,晴,东北风,1级
2022-01-04,星期二,19,8,阴,西风,1级
2022-01-05,星期三,1,0,阴,西北风,1级
2022-01-06,星期四,14,6,多云,东北风,2级
2022-01-07,星期五,15,6,多云,东北风,1级
2022-01-08,星期六,14,7,小雨,南风,1级
2022-01-09,星期日,9,6,阴,北风,1级
2022-01-10,星期一,15,8,多云,西南风,1级
2022-01-11,星期二,13,1,晴,东南风,0级
2022-01-12,星期三,11,3,晴,北风,0级
2022-01-13,星期四,15,0,晴,北风,1级
2022-01-14,星期五,10,5,多云,西南风,1级
2022-01-15,星期六,19,6,多云,北风,1级
2022-01-16,星期日,11,6,小雨,北风,1级
2022-01-17,星期一,-6,-18,晴,北风,2级
2022-01-18,星期二,10,5,多云,东北风,0级
2022-01-19,星期三,13,7,多云,东北风,2级
2022-01-20,星期四,15,8,阴,南风,1级
2022-01-21,星期五,11,8,多云,东风,1级
2022-01-22,星期六,12,8,小雨,西风,1级
2022-01-23,星期日,16,11,多云,北风,1级
2022-01-24,星期一,13,11,多云,东风,1级
2022-01-25,星期二,11,8,阴,东风,1级
2022-01-26,星期三,12,9,多云,北风,1级
2022-01-27,星期四,11,8,多云,东北风,1级
2022-01-28,星期五,8,4,多云,东北风,1级
2022-01-29,星期六,8,3,多云,西北风,1级
2022-01-30,星期日,8,1,晴,北风,2级
2022-01-31,星期一,9,2,阴,东北风,1级
2022-02-01,星期二,8,4,小雨,北风,1级
2022-02-02,星期三,7,5,小雨,北风,2级
2022-02-03,星期四,7,5,小雨,西北风,1级
2022-02-04,星期五,10,1,多云,西北风,1级
2022-02-05,星期六,13,1,多云,东风,1级
2022-02-06,星期日,8,5,雾,东北风,2级
2022-02-07,星期一,8,3,大雨,西南风,2级
2022-02-08,星期二,12,5,多云,东北风,2级
2022-02-09,星期三,8,6,小雨,北风,1级
2022-02-10,星期四,13,6,多云,东风,1级
2022-02-11,星期五,9,6,小雨,东北风,1级
2022-02-12,星期六,15,8,雾,东风,1级
2022-02-13,星期日,10,5,中雨,西北风,1级
2022-02-14,星期一,15,4,多云,东风,1级
